instruction_id,source_metric_id,source_semantic_signature,target_sheet,target_cell,target_semantic_signature,expected_value_type,template_fingerprint_id,policy_version,match_status
wi:0502cc78ba77b4b95ad8,LEGACY::REMASEP_01::H87,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: PSICO :: PSICOLOGO/A :: CONSULTA PSICOLOGICA :: POR EDAD (EN ANOS) :: 0 - 4 ANOS :: MUJERES,REMASEP 01,G116,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: PSICOLOGO/A :: CONSULTA PSICOLOGICA :: POR EDAD (EN ANOS) :: 0 - 4 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:05585c7bf63c508bcd2b,LEGACY::REMASEP_OD::AL48,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: INSTALACION APARATO REMOVIBLE :: INSTALACION APARATO REMOVIBLE ORTODONCICO :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 75 Y MAS ANOS :: HOMBRES,REMASEP_OD,AK65,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: INSTALACION APARATO REMOVIBLE ORTODONCICO :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 75 Y MAS ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:05b9d264604b1f362e1d,LEGACY::REMASEP_01::AF89,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: FONO :: FONOAUDIOLOGO/A :: CONSULTAS FONOAUDIOLOGO/A :: POR EDAD (EN ANOS) :: 60 - 64 ANOS :: MUJERES,REMASEP 01,AE118,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: FONOAUDIOLOGO/A :: CONSULTAS FONOAUDIOLOGO/A :: POR EDAD (EN ANOS) :: 60 - 64 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:05e504efe5893288e254,LEGACY::REMASEP_01::Q90,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: KINE :: KINESIOLOGO/A :: ATENCION KINESIOLOGICA :: POR EDAD (EN ANOS) :: 25 - 29 ANOS :: HOMBRES,REMASEP 01,P119,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: KINESIOLOGO/A :: ATENCION KINESIOLOGICA :: POR EDAD (EN ANOS) :: 25 - 29 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:060e459a7dd64635fdb9,LEGACY::REMASEP_OD::AD46,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5010009 - VIDRIO IONOMERO :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 35-44 ANOS :: HOMBRES,REMASEP_OD,AC63,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 35-44 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:06ab567d5105c83ea554,LEGACY::REMASEP_OD::AH16,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.3. ACCIONES GENERALES DE PREVENCION E HIGIENE :: 5010011 - PROFILAXIS :: HIGIENE Y PROFILAXIS EN NINOS Y ADULTOS :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 60-64 ANOS :: HOMBRES,REMASEP_OD,AG33,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.3. ACCIONES GENERALES DE PREVENCION E HIGIENE :: HIGIENE Y PROFILAXIS EN NINOS Y ADULTOS :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 60-64 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:06d590a24b8df7e7cc1e,LEGACY::REMASEP_OD::H17,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.3. ACCIONES GENERALES DE PREVENCION E HIGIENE :: 5001016 - FLUOR :: FLUORACION TOPICA DE BARNIZ :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 2 ANOS :: HOMBRES,REMASEP_OD,G34,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.3. ACCIONES GENERALES DE PREVENCION E HIGIENE :: FLUORACION TOPICA DE BARNIZ :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 2 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:071fa8fa61a3ad551dd4,LEGACY::REMASEP_OD::R46,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5010009 - VIDRIO IONOMERO :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 7 ANOS :: HOMBRES,REMASEP_OD,Q63,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 7 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:079e26fe27b5b029cf77,LEGACY::REMASEP_01::G86,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: NUTRICIONISTA :: NUTRICIONISTA :: CONSULTA NUTRICIONAL :: POR EDAD (EN ANOS) :: 0 - 4 ANOS :: HOMBRES,REMASEP 01,F115,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: NUTRICIONISTA :: CONSULTA NUTRICIONAL :: POR EDAD (EN ANOS) :: 0 - 4 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:07c5963368d642ab71d9,LEGACY::REMASEP_OD::AE9,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.1. CONSULTAS Y ALTAS :: CONTROL ODONTOLOGIA GENERAL :: CONTROLES ODONTOLOGICOS GENERALES :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 35-44 ANOS :: MUJERES,REMASEP_OD,AD18,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.1. CONSULTAS Y ALTAS :: CONTROLES ODONTOLOGICOS GENERALES :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 35-44 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:087bce039954ac5f8ac7,LEGACY::REMASEP_OD::K54,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: CONTROLES ORTODONCIA :: ORTODONCIA PREVENTIVA E INTERCEPTIVA (OPI) :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 3 ANOS :: MUJERES,REMASEP_OD,J71,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: ORTODONCIA PREVENTIVA E INTERCEPTIVA (OPI) :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 3 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:08b8bd0f7c6bbb56621d,LEGACY::REMASEP_OD::AE46,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5010009 - VIDRIO IONOMERO :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 35-44 ANOS :: MUJERES,REMASEP_OD,AD63,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 35-44 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:08f21aa4a6ee4eab6cb5,LEGACY::REMASEP_OD::W13,"REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.3. ACCIONES GENERALES DE PREVENCION E HIGIENE :: 5001005 - SELLANTES :: APLICACION DE SELLANTE EN PIEZA PERMANENTE, FOTOCURADO :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 10-14 ANOS :: MUJERES",REMASEP_OD,V30,"REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.3. ACCIONES GENERALES DE PREVENCION E HIGIENE :: APLICACION DE SELLANTE EN PIEZA PERMANENTE, FOTOCURADO :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 10-14 ANOS :: MUJERES",INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:08f23ec5c1a6957453b2,LEGACY::REMASEP_OD::H89,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5009002 - DESGASTE SELECTIVO :: DESGASTE SELECTIVO :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 2 ANOS :: HOMBRES,REMASEP_OD,G106,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: DESGASTE SELECTIVO :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 2 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:098631bc943bfc2825cb,LEGACY::REMASEP_OD::AD66,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5009012 - PULIDO RADICULAR POR SESION O SEXTANTE :: PULIDO RADICULAR :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 35-44 ANOS :: HOMBRES,REMASEP_OD,AC83,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: PULIDO RADICULAR :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 35-44 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
